Customer Name,Gender,Quantity,Price,City,State,Phone,Email,Zincode,Product,Category,Dealer,Discount,Coupon Code,Date of Order,Date of Delivery,Order ID,Product ID,Order Status,Payment Method,Shipping Fee,Customer Feedback,Returns,Refund Amount,Loyalty Points
Edgar Wood,M,5,19.99,Ruizbury,West Virginia,,,61545,star,,Mccoy-Lowery,,12345,2023-10-05,2022-07-31,85e3c97a-5141-47bf-b701-e6cf7bbe2484,1759905967039,Delivered,,0,Good,,,two hundred
Kristina Torres,,10,20$,West Christopherstad,Washington,739.043.8519,not-an-email,ABCDE,appear,,Williamson-Franco,,DISCOUNT,2022-06-18,2022-05-25,b3e39d46-a5a8-4acc-90da-50f96eefd522,2069653054042,Pending,Credit Card,10.0,,,0.0,100
Stephanie Stephens,,-5,,North Stephaniemouth,California,123-abc-7890,not-an-email,ABCDE,movie,Food,Burns-Mendoza,,SAVE10,2023-12-06,2023-12-19,7086506f-545d-4eed-8f37-03cea58681c2,0211010517819,Cancelled,Credit Card,10.0,,no,,200
Gary Carter,Male,4,0,North Steve,Nebraska,,,,wonder,,Thomas Inc,5,SAVE10,2023-12-19,2023-12-01,0110c058-8b0b-4aa7-8e3a-c5e1cbcb02ce,7789685933553,,,,Good,1,0.0,200
Michael Powell,,,-10,South Meganton,Washington,,,ABCDE,less,Electronics,Burns PLC,5,SAVE10,2023-07-12,2022-10-02,4350a6af-f6ff-41e2-8686-74aa342e547d,7367087890409,Pending,PayPal,0,,no,,two hundred
Joshua Anderson,F,1,,North Michael,Mississippi,323.737.1712x68375,not-an-email,,series,,"Garza, Bauer and Chandler",,12345,2022-12-16,2024-05-12,001b73f2-a2b0-4244-997f-0b5a871484f2,4475481854590,Pending,,free,,1,5.0,200
Mr. John Brandt,Female,1000,49.95,South Heather,North Dakota,123-abc-7890,nicole76@gmail.com,61006,develop,Other,"Douglas, Nelson and Chen",10%,12345,2023-11-11,2024-04-11,8d7fd50c-ebf0-486e-8f82-37923c1bab38,0232540369167,,,,,0,5.0,200
Preston Nguyen,,1,100000,Phillipsport,Indiana,,,,draw,Electronics,"Lynn, Warner and Hendrix",10%,12345,2023-11-22,2023-08-28,48f998c1-96de-40ef-8ffd-c5c9bd3be6b5,8616738068964,Delivered,PayPal,10.0,,0,-1,
Stacey Turner,Men,2,,Shannonmouth,Iowa,,,12533,enjoy,,Caldwell and Sons,five,,2022-05-06,2024-10-29,cc50be0c-fe26-4af4-ab10-2a1834d3c1f0,9202290087964,Pending,,,Average,1,0.0,
Jonathan Smith,Female,,-10,Roseshire,Idaho,,kim56@robbins.com,58907,others,,Pearson-Jackson,10%,,2022-07-31,2023-11-26,154d28cf-026e-47a8-ae5a-d84cf85cef65,2475743134059,Cancelled,,,,,5.0,two hundred
Autumn Wilkins,Male,10,100000,North Chadfort,California,+1-739-402-7541x580,evansapril@hotmail.com,85242,trip,Clothing,"Russell, Pineda and Vance",,DISCOUNT,2022-09-12,2024-07-14,b6628817-e592-498d-aa1e-199bacf8d4f7,6353696338921,Cancelled,,free,,no,-1,200
Brian Anderson,,1,,Karenchester,New York,,rhogan@mccoy.org,ABCDE,thing,Clothing,"Thomas, Fletcher and Ellis",,,2023-10-04,2023-02-01,707e98e6-10fe-45ab-bbde-4d294ec788c0,5204206067705,Cancelled,PayPal,0,Average,0,0.0,
Courtney Campbell,Women,2,,Lake Donald,Arizona,+1-675-940-3762x9409,,ABCDE,focus,Other,Murphy-Fisher,five,SAVE10,2022-06-14,2023-03-19,bd39e7b9-acbc-47d6-b126-136066b7947b,6632769666179,,,,Average,,0.0,
Kathleen Russo,,2,,Bryantville,South Carolina,,not-an-email,,Republican,Electronics,Rodriguez LLC,10,,2022-01-11,2024-04-17,7fa69368-cc8d-4179-b969-2ef195aac17f,9219738209727,,PayPal,,Good,yes,,200
Rachel Day,,three,,Hurleyview,Illinois,,,48458,recently,,"Jimenez, Ramirez and Powell",,DISCOUNT,2023-10-21,2024-05-27,7d473e63-44fb-4962-8f86-839048d42e39,1477819410136,Delivered,Bank Transfer,free,,0,,100
Lance Mitchell,Men,-5,,Port Nicholasshire,Michigan,206.288.5397,johnfrancis@hotmail.com,,paper,,Michael Inc,five,12345,2022-05-09,2024-06-06,5b306e12-5265-4042-9078-0e65f6739f66,9064677608380,,Credit Card,0,Bad,1,0.0,
Brian Wong,Female,4,,Washingtonland,Arkansas,,xjones@hotmail.com,ABCDE,practice,Other,"Cross, Harrison and Livingston",,DISCOUNT,2022-11-11,2022-03-07,0f289bf7-f81d-45ab-924a-820f53e241b3,1100999755680,,,,Bad,yes,-1,two hundred
Timothy Scott,,,100000,Stanleyshire,Wisconsin,,,59544,force,Food,Newman-Rogers,,,2023-10-17,2023-12-09,0c68ff52-cdb9-4567-8791-2bd3ffe44eb0,6764063348670,Cancelled,,5.99,Bad,,10.0,100
Kyle Lopez,,1,-10,New Kevinchester,Alaska,001-348-445-4466,burnsgina@yahoo.com,41933,loss,,"Harris, Williams and Clark",5,SAVE10,2022-09-03,2023-10-28,2b5730cc-7a24-4db0-91ba-dce1ae27d9c2,2862120537693,,Bank Transfer,5.99,Average,yes,-1,
Christopher Maxwell,Male,1000,,Sanderston,Vermont,123-abc-7890,not-an-email,,mention,Food,"Bradley, Rodriguez and Moreno",10%,DISCOUNT,2022-01-20,2022-12-24,8571a6b0-67d9-47a1-b192-630aff20705f,4207670013224,Pending,PayPal,0,Bad,0,5.0,100
Ashley Johns,Male,,-10,South Josephview,Indiana,001-124-547-1494,,94727,message,Electronics,"Curry, Simmons and Smith",5,,2022-06-18,2022-10-03,f98a19a9-f92d-44eb-ae79-473d8a77d2ff,8098215502107,Pending,Bank Transfer,10.0,Average,,,two hundred
Mark Patrick,,5,20$,Kleinstad,Missouri,,,23803,wrong,Electronics,"Kirby, Mitchell and Moore",,SAVE10,2023-10-19,2022-10-30,73a58ae1-ea44-4e52-a6b7-89aa2b97ed17,3315850301526,,Credit Card,,Good,no,,100
Troy Johnson,,4,0,East Kim,Oklahoma,,whitemichael@yahoo.com,,low,Clothing,"Diaz, Contreras and Gonzales",five,DISCOUNT,2022-06-09,2023-10-10,78ca5b1e-9d35-4ab8-a61e-a7a5600071be,3520051068349,Cancelled,Bank Transfer,0,Bad,,-1,
Michael Bruce,Female,1000,49.95,Zacharymouth,Texas,,,,social,,"Morse, Miller and Lee",10%,,2023-11-03,2022-02-20,906e0663-bd4f-4434-a2c7-594c09112607,1265627488900,Delivered,Bank Transfer,10.0,,,,two hundred
Christopher Roy,Men,5,100000,Bowenland,Nebraska,123-abc-7890,,,development,,"Richards, Lawrence and Jones",10%,12345,2022-02-14,2024-10-31,09f97c68-4da3-4478-b7d9-1566ce887d08,8691332253862,Cancelled,PayPal,0,,no,,100
Louis Sullivan,,three,,Lake Bernard,Connecticut,,christinaweaver@yahoo.com,59830,whose,,"Anderson, Cook and Hunter",5,DISCOUNT,2023-02-26,2022-12-30,9d3de19d-5bca-4191-8c7c-9494ad821a7b,6594104229688,,,10.0,Good,1,0.0,two hundred
Caleb Thomas,Male,-5,-10,Lake Lauraland,Texas,744.479.2611,,ABCDE,live,Electronics,Gallagher-Lynch,5,,2023-01-03,2024-12-05,9cb80f7b-f322-4304-a6cb-dd76f3f481a0,6141377585104,,,5.99,,,5.0,100
Lauren Miller,M,4,49.95,West Joelberg,Arizona,,dreynolds@hotmail.com,ABCDE,military,,"Pugh, Jacobs and Cole",10%,12345,2022-06-24,2024-11-14,5d52019a-cd65-41b6-a1ce-398dc36a6a34,5181370493649,Cancelled,,10.0,Average,no,5.0,
Joseph Evans,Men,-5,-10,Mayostad,Michigan,001-980-445-3765x707,not-an-email,ABCDE,group,Food,Johns-Edwards,10,,2023-04-09,2022-07-04,7d6b83c8-1779-4a82-9332-68ee359f09fb,9984678028881,,,10.0,Average,1,,200
Nina Ruiz,F,5,0,Port Lindsayshire,New York,,,,situation,Other,Greer Ltd,10%,,2023-01-16,2022-10-03,d3fedac6-2e9f-48bf-a95c-ab741bdb109b,3950379142917,Delivered,Credit Card,free,,no,-1,200
Mark Combs,Men,1000,20$,New Aaronbury,Missouri,,,,young,Food,Christensen-Peterson,five,SAVE10,2022-01-09,2022-03-05,6f2d1f45-0560-4c42-b03d-e8e20ba65dc6,3352081228987,Pending,Bank Transfer,0,Average,no,-1,
Lauren Woods,M,,20$,Randyport,Arkansas,,,92435,travel,Food,"Hall, Rodriguez and Ritter",5,,2023-02-16,2023-11-28,d26050bc-5589-47b0-9c8c-9d80faa4cc86,2445027416744,Pending,PayPal,5.99,Good,,-1,
Mary Byrd MD,,4,,Underwoodville,Arizona,,not-an-email,05668,sell,,"Herrera, Walton and Wilson",,SAVE10,2023-12-04,2024-08-01,96a5c6c0-5ea4-45df-9538-53b7d6788ae2,9561572732672,,Credit Card,,,yes,,two hundred
Nicole Kelly,F,3,0,Masonport,Idaho,123-abc-7890,,35195,something,Electronics,"Bell, Martin and Williams",,DISCOUNT,2023-10-14,2022-01-26,a78540f0-7656-43ca-85ad-cd23bafe63a9,1799562567364,Cancelled,Credit Card,0,Bad,no,-1,two hundred
Meagan Barker,Male,1,19.99,Boydshire,Mississippi,,thomasalexander@weaver.com,,try,,Edwards PLC,five,,2022-02-03,2022-10-28,ba213fd2-e759-4156-b98f-40606b72534b,6811495613644,,Bank Transfer,5.99,,1,10.0,200
Amanda Wood,,1,100000,West Haley,South Dakota,308.011.1489,laurenmaxwell@randall.com,,black,,Garcia PLC,,SAVE10,2023-03-30,2024-05-10,1eeb214f-00cb-4174-8404-07ada65cff2d,6625164468066,Delivered,Credit Card,,Average,,10.0,
Jason Snyder,Female,1000,,East Timothyville,Oregon,879.023.4468x677,,30183,century,Clothing,Morgan and Sons,5,12345,2022-11-30,2024-08-17,24f66044-a1a3-4cce-b854-c001d3c961f9,7697515982063,,,free,Bad,0,0.0,
Jennifer Barron,,,100000,Bryanfurt,South Carolina,871-936-6791,,ABCDE,husband,Clothing,Davis-Dennis,5,DISCOUNT,2023-12-17,2024-01-28,e3563b65-8d1a-471d-a09f-e0454fc6fd40,2436467445739,Delivered,PayPal,free,,0,5.0,two hundred
Kenneth Scott,Men,1,100000,New Timothy,Connecticut,,not-an-email,,address,Clothing,Hall LLC,,SAVE10,2022-11-02,2023-12-02,436dc73b-f73b-444a-8c58-fba83b3c52ba,7707006064137,Cancelled,,,Bad,yes,,
Mary Mullins,Men,2,,Petersborough,New Mexico,,,80666,your,Electronics,Wilkerson Ltd,5,SAVE10,2022-10-10,2022-06-23,42cc19af-5fd0-4d03-98ac-623baa4368ea,1594237267095,Pending,,,Good,no,,200
Richard Bowman,M,three,0,Lauraside,Hawaii,123-abc-7890,john18@gmail.com,82522,paper,Other,"Munoz, Davis and Tapia",5,SAVE10,2023-05-02,2024-11-23,4901a006-3145-4f2c-85cf-1acb3fb4df4e,8095255006138,Cancelled,,5.99,,1,5.0,
Steven Morgan,Female,4,20$,Port Christopher,Hawaii,,bakerjake@gmail.com,,enjoy,Electronics,"Ramsey, Frost and Davis",10,SAVE10,2023-08-07,2023-11-24,2746644b-9c34-4aaf-9e8a-1bc5b237f983,5282300056450,Cancelled,,0,Good,no,5.0,200
Steven Johnson,,three,49.95,Amandashire,Minnesota,,sharon03@marquez.com,ABCDE,add,Food,Gordon-Rivers,5,12345,2022-07-18,2022-02-06,da72f4c0-f3bb-40a5-8f18-a8a3f38fcb5a,7953735990531,,,0,,,10.0,100
Dana Greene,,4,19.99,Daniellechester,Montana,123-abc-7890,,,knowledge,Clothing,"Rocha, Zimmerman and Owens",5,,2022-01-25,2023-05-11,0ffc4c6a-57dc-4162-8750-0f8e78941431,8922729234790,Pending,Bank Transfer,10.0,Average,1,,two hundred
Robin Diaz,Male,-5,-10,East Calvinstad,Mississippi,123-abc-7890,,,state,,Williams-Vang,10,12345,2023-07-12,2024-09-29,8912b1b0-8d5d-452f-9de9-e57f49a817a6,3792723317264,Cancelled,,free,Bad,1,-1,200
Robert Davis,Women,1,,Hillberg,Arizona,,btaylor@patel-hall.com,,speech,Food,Hahn-Harrell,10%,,2023-03-27,2024-09-26,ab3f1245-47a6-4237-b861-4633c750d39c,7564097062394,Delivered,Bank Transfer,5.99,Average,,,100
Amber Washington,Female,three,-10,Davisfort,New Mexico,,,,own,Electronics,"Joyce, Henderson and Kirby",,DISCOUNT,2022-06-09,2022-05-29,52edcd2f-5017-4fd0-af4e-f12e252adc26,6764290311829,,,0,,yes,-1,
Elizabeth Cox,Male,4,19.99,Lake Anthony,North Carolina,,markbauer@lloyd-jenkins.com,,wonder,Electronics,Lopez-Collins,10,,2023-09-16,2024-05-01,2f45ebc1-83c3-449e-9963-58828ed8e494,1588445690684,,Bank Transfer,free,Average,0,0.0,100
Donna Long,Male,3,,South Jessicaside,North Carolina,424-236-5430x6077,not-an-email,ABCDE,everything,,Williamson LLC,,,2023-12-07,2023-02-07,b143cebe-025d-4e07-b669-5a5b2ce6f98c,1484136204133,Cancelled,Credit Card,5.99,Bad,,-1,100
Becky Brooks,Women,three,,South Sharon,Nevada,123-abc-7890,,,everything,Electronics,"Scott, Fisher and Jones",five,SAVE10,2023-11-19,2023-12-05,398f12c7-2b58-4242-a6e6-f38b9ff04cfb,7383548968548,,,10.0,Good,no,5.0,200
Maria Griffin,M,,,Lake Nicholashaven,Tennessee,123-abc-7890,,,drop,Other,Washington and Sons,10%,SAVE10,2023-04-10,2023-06-30,e14aec5d-c13d-46dd-889c-6cdd169299f6,9046821689766,,,,Average,0,,100
Dana Jones,Male,3,20$,Freemanton,Minnesota,,,,director,Other,"Hammond, Russell and Duran",5,DISCOUNT,2023-11-30,2024-12-04,21cfa4e7-2959-49bf-b37d-b31eebf1f2b8,9929791397650,Cancelled,Bank Transfer,10.0,,yes,-1,two hundred
Margaret Espinoza,F,5,0,Christopherland,West Virginia,123-abc-7890,ohernandez@mccann.com,,one,,Adams-Hale,five,,2023-03-20,2023-09-15,a7471c5b-29de-44cc-b872-d6e5dc2cf4dd,2177311883689,,,10.0,Average,1,5.0,200
Michael Brown,M,-5,19.99,South Anthonyberg,Indiana,766-433-3680x87953,not-an-email,ABCDE,carry,,Parrish PLC,,SAVE10,2023-06-28,2023-07-14,dc717798-3347-42a0-8622-fd018ff81f49,3491875346183,,Credit Card,0,,yes,0.0,100
James Weaver,M,10,-10,North Brian,Nevada,123-abc-7890,,97369,break,,Shelton-Davis,10,12345,2023-08-03,2024-02-17,3ad8dadd-a25d-4d29-b8dc-dc2611901cdf,6124583811441,,Bank Transfer,free,Good,yes,,100
Kayla Glenn,,10,100000,Lake Toddstad,Maryland,123-abc-7890,,,no,Other,"Brown, Bennett and Haynes",,12345,2023-01-27,2024-08-06,f24ce049-e63b-4bc1-9c1f-e7f049ccff8d,3338793373566,Cancelled,Credit Card,0,,,0.0,
Jessica Black,Male,10,20$,North Jessica,Nevada,,kelly87@williams.net,ABCDE,religious,,"Wilkinson, Martinez and Gutierrez",five,12345,2023-05-23,2022-12-09,416cd6a7-dd71-4ed2-83b1-850070007eca,5491330909128,,PayPal,10.0,Average,,,two hundred
Austin Pierce,M,-5,20$,West Alexchester,Alaska,123-abc-7890,not-an-email,13113,bag,Food,"Mason, Underwood and Kane",10,DISCOUNT,2022-04-06,2022-06-14,dbf221c7-a8e5-435c-850c-a571adb7e606,8795332781025,Pending,Bank Transfer,,Average,,,200
David Fields,Women,10,-10,Port Connie,Connecticut,,,,treat,Electronics,"Bird, Obrien and Sosa",10,,2023-03-30,2024-10-31,32e27bef-7f69-48bf-ab90-333b6162f62b,4977466605567,,Bank Transfer,free,Good,,,
David Rosales,Women,1,-10,Jillport,Maine,,not-an-email,ABCDE,three,Food,Hoffman PLC,10%,,2022-01-17,2024-05-20,d122f6bb-817d-4bc5-a4b7-2af7775e4b36,7918461686653,,Bank Transfer,,Bad,,5.0,100
Jonathan Douglas,M,5,20$,North Linda,Pennsylvania,,not-an-email,94415,yet,Other,Garrett-Vega,,,2022-12-23,2023-02-20,c3ccec50-5713-43f6-866a-c7fa78289a33,9483699124355,Delivered,Credit Card,10.0,Average,,10.0,200
Katie Jones,,1000,49.95,Sarahfurt,Montana,,melanie24@yahoo.com,ABCDE,method,,Obrien and Sons,10%,,2022-02-11,2022-11-15,eea0d1a6-35a8-4a3e-a747-1beb28a91c3e,6560246411380,Cancelled,,,Average,yes,0.0,
Bill Mckinney,F,,19.99,Jenniferchester,Wisconsin,,,,religious,,"Brown, Huffman and Kerr",,,2023-06-06,2024-08-19,64a8e9a1-435a-40ef-93e0-6060758bb299,3211784664600,,Credit Card,,,0,-1,100
Debbie Johnson,,1,100000,Whitefort,Virginia,(454)660-7935,,37948,follow,Electronics,Cook-Smith,five,12345,2022-07-11,2023-07-16,59781a14-5cfc-4cd8-a85f-a7b60a71224f,4318880164283,Pending,Credit Card,0,,yes,,two hundred
Stephanie Hamilton,,5,-10,East Tylertown,Nebraska,123-abc-7890,guerraadam@paul.org,09097,back,Electronics,Charles and Sons,,,2022-04-25,2022-11-02,9201da30-e942-4c3c-9afb-4ebaa2f7dfe2,5556109846858,Delivered,Bank Transfer,,,1,,
Debra Ayers,Men,,100000,Burnsstad,Ohio,842.016.4079x28085,not-an-email,,put,Other,Daniels-Moore,,,2023-10-06,2024-04-30,606189b5-480e-4a19-81f1-e511ac49c18b,0299624938732,,PayPal,,Average,,,two hundred
Brian Martin,,5,100000,Port David,Connecticut,,xnorton@lester.com,,town,Clothing,"Martin, Knox and Soto",10,12345,2023-03-27,2024-01-12,df98c7db-0413-4ce0-957a-b149f63bc2dc,2524590060322,Pending,PayPal,0,Bad,,,
Charles Prince,Male,10,100000,Nobleborough,Indiana,,not-an-email,,debate,Clothing,"Morris, Roth and Greene",five,12345,2023-07-27,2023-12-16,09b1595b-0ac7-47b9-a423-233ae618f687,1804069247883,Delivered,Bank Transfer,,Good,yes,10.0,
Jordan Brown,Men,three,-10,Wellschester,New York,123-abc-7890,henrydeborah@petersen.net,,one,Food,"Johnson, Greene and Cervantes",5,,2023-03-30,2023-08-25,b1cc20ca-f21e-4ee2-b3c8-8b8bc31dce6a,7446704047713,Delivered,,10.0,Good,1,-1,100
Mr. Scott Orr DVM,Female,three,100000,Justinville,Oklahoma,,,ABCDE,develop,Electronics,Duncan-Matthews,,12345,2023-05-14,2023-08-08,03011506-174c-4548-93b3-4ab835b8b33b,4917125288656,,,0,Average,yes,5.0,200
Tonya Wilson,Women,three,,New Sarahhaven,Arkansas,,,,away,Electronics,Watson PLC,,DISCOUNT,2023-11-27,2024-10-07,4e5d9d2d-85bb-4d6a-bfe9-49f4ea7e878d,2758520829615,Delivered,,10.0,Good,yes,,
John Alvarez,Female,2,100000,East Crystalstad,Minnesota,,,ABCDE,open,Other,"Gordon, Morgan and Silva",5,,2023-03-18,2024-05-24,345c5e5a-7763-4d4d-afb7-29524346adaa,2117294302395,Cancelled,Bank Transfer,free,,,,two hundred
Ashley Rodgers,Male,-5,49.95,New Williamstad,Nevada,,,,course,Other,Hill-Wise,10,12345,2022-06-13,2023-03-17,08e57ee9-0209-4e39-ac49-b9df0db1c66f,6196792432182,,,0,Bad,,-1,two hundred
Shelby Potts,,,49.95,West Kelliemouth,Louisiana,,not-an-email,,entire,Food,York-Lynch,,SAVE10,2023-06-12,2024-01-15,7e7d0300-8657-4e33-82da-2289adbb9535,1628739071291,Cancelled,,,Average,yes,5.0,two hundred
Amy Bruce,,1000,19.99,Maryfurt,Vermont,123-abc-7890,,,reality,,Henson-Mills,,SAVE10,2022-01-30,2023-02-09,c6d6ee28-66f8-48bf-a059-a56d6edbeba1,7327246003583,Delivered,,10.0,Bad,no,,
Stephen Roberts,,4,0,South Connieville,Minnesota,123-abc-7890,gileskayla@wise.org,,ball,Electronics,Henderson Inc,10%,,2023-11-23,2022-01-28,1a7d79f0-5bcb-4e8e-a989-19f5a2553036,7374664220115,,,,Average,0,10.0,100
Antonio Richards,M,3,100000,Markburgh,Indiana,,,ABCDE,station,Other,Perez-Lozano,,SAVE10,2023-09-22,2022-06-12,e5c09a7b-e6dd-46c1-a025-5c8691fc3d42,9093645822459,Delivered,Credit Card,10.0,Bad,yes,10.0,two hundred
Ivan Gonzalez,Male,5,,Leeville,Utah,,corey16@gmail.com,,statement,,"Stout, Silva and Gonzales",,,2023-11-23,2023-12-30,5277d1ff-1016-4ab1-bcf9-cba5d8ad7c23,6183478811379,,PayPal,,Bad,,,two hundred
Michelle Luna,F,1,-10,East Amanda,Michigan,,,,or,Food,White-Brown,,,2022-08-05,2023-02-13,a8d548c4-f50f-4792-b2cf-97f6177b4fe9,0847234824558,,Credit Card,5.99,Average,yes,-1,
Sarah Reynolds,,three,,Cartershire,Connecticut,123-abc-7890,,ABCDE,black,,"Huff, Martin and Fields",10%,,2022-03-17,2024-03-10,32b4a7e3-9e14-40c5-8272-5fad4d367ce6,8556152346937,,Credit Card,0,Average,,,
Tanya Foster,M,-5,,Kevinchester,Ohio,+1-404-477-5596x46733,,25227,off,,"Bennett, Davis and Rogers",,,2023-06-17,2024-05-19,84a39419-dbea-4fe3-bcc4-ddeb5098ee48,8843850067784,,,0,Average,,10.0,200
Julia Parker,Women,,19.99,Stephenmouth,Virginia,,,90275,number,,Johnson-Blair,10%,,2022-12-11,2024-08-20,e709ea24-ed33-42db-aaa2-d7cb1ae24d6a,6091758736109,,,free,,no,10.0,two hundred
Dustin Parker,Male,-5,0,North Ryan,Rhode Island,,not-an-email,66597,account,Electronics,Lane LLC,,DISCOUNT,2023-03-04,2022-10-20,f3a3082b-eb67-480d-b93b-b13961e96a22,0814556935026,Pending,,,Bad,0,,100
Robert Crawford,,5,,North Anna,Illinois,000-581-8871,,ABCDE,serious,,Reynolds-Gonzalez,,DISCOUNT,2022-06-06,2024-08-01,e7f892c7-d6da-47c7-9833-4e4978a7611a,9773733989102,Cancelled,PayPal,5.99,,1,-1,
Joshua Miller,Male,2,100000,Sarahview,Kansas,,xleon@yahoo.com,,push,Clothing,"Bell, White and Hayes",10,,2023-08-14,2024-10-17,b3ff10c1-f0df-4e45-960c-70a38a9896f1,7686047646079,Cancelled,Bank Transfer,free,Average,no,-1,
Cody Robinson,Women,2,,Riddlemouth,South Carolina,123-abc-7890,downsdawn@yahoo.com,,cold,Clothing,Smith Inc,,,2023-02-09,2022-12-24,283ced07-71da-44d4-a6fa-c7afb9b74a0d,6074133913425,Delivered,,,,,,two hundred
Roy Horton,,-5,19.99,Dayshire,Alabama,001-304-427-4034x1418,ryan17@gmail.com,ABCDE,us,,Smith-Smith,5,DISCOUNT,2023-11-06,2022-01-03,43ccfdfb-170c-4fb2-bd96-789027b77ec4,6009477762453,,,free,,1,,100
